instruction,n_used,norm,split_half_cos_mean
change_case:capital_word_frequency,10,6.697768688201904,0.7682294387214359
change_case:english_capital,11,4.388707160949707,0.5422519643849827
change_case:english_lowercase,13,4.775245189666748,0.6869004061339595
combination:repeat_prompt,16,7.719375133514404,0.8353666592076671
detectable_content:number_placeholders,10,6.921211242675781,0.772787698402706
detectable_content:postscript,13,10.564566612243652,0.8671031773131943
detectable_format:constrained_response,10,10.089170455932617,0.8448073811979756
detectable_format:number_bullet_lists,13,9.955123901367188,0.7854619279420512
detectable_format:number_highlighted_sections,16,7.1185383796691895,0.7591039462640051
detectable_format:title,13,6.182794570922852,0.8104841543215086
keywords:forbidden_words,16,7.604053974151611,0.8448223014352606
keywords:frequency,13,6.445060729980469,0.8140477980930232
keywords:letter_frequency,11,6.881424427032471,0.7731704706954082
language:response_language,16,6.092178821563721,0.8199860611294837
length_constraints:number_paragraphs,10,5.501255512237549,0.5021306815159682
length_constraints:number_sentences,14,4.495544910430908,0.6238831389495739
length_constraints:number_words,13,4.400840759277344,0.7265471264979623
punctuation:no_comma,16,6.642721176147461,0.8537894047572919
startend:end_checker,16,6.5225138664245605,0.7170454996127721
startend:quotation,14,7.126833915710449,0.8699770155488503
